timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1784136516619,2,Web - GET CSS bundle,200,OK,Load - 10 users 1-7,text,true,,5891,142,4,4,http://localhost:4173/assets/index-DgVZD9jl.css,2,0,0
1784136516853,3,Web - GET JS bundle,200,OK,Load - 10 users 1-10,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,2,0,0
1784136516975,37,API - GET Courses,200,OK,Load - 10 users 1-9,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,37,0,0
1784136517009,4,Web - GET JS bundle,200,OK,Load - 10 users 1-8,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136517357,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-10,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136517514,3,Web - GET index.html,200,OK,Load - 10 users 1-9,text,true,,791,117,3,3,http://localhost:4173/,3,0,0
1784136517518,2,Web - GET CSS bundle,200,OK,Load - 10 users 1-8,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,2,0,0
1784136517866,35,API - GET Courses,200,OK,Load - 10 users 1-10,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,35,0,0
1784136518019,1,Web - GET JS bundle,200,OK,Load - 10 users 1-9,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,1,0,0
1784136518025,36,API - GET Courses,200,OK,Load - 10 users 1-8,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,36,0,0
1784136518405,2,Web - GET index.html,200,OK,Load - 10 users 1-10,text,true,,791,117,3,3,http://localhost:4173/,1,0,0
1784136518526,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-9,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136518566,4,Web - GET index.html,200,OK,Load - 10 users 1-8,text,true,,791,117,3,3,http://localhost:4173/,4,0,0
1784136518908,3,Web - GET JS bundle,200,OK,Load - 10 users 1-10,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136519035,38,API - GET Courses,200,OK,Load - 10 users 1-9,text,true,,6738,366,3,3,http://localhost:5050/api/v1/courses?page=1&limit=20,38,0,0
1784136519073,3,Web - GET JS bundle,200,OK,Load - 10 users 1-8,text,true,,177350,141,3,3,http://localhost:4173/assets/index-CkFmkQjD.js,2,0,0
1784136519417,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-10,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136519578,2,Web - GET index.html,200,OK,Load - 10 users 1-9,text,true,,791,117,3,3,http://localhost:4173/,2,0,0
1784136519582,1,Web - GET CSS bundle,200,OK,Load - 10 users 1-8,text,true,,5891,142,3,3,http://localhost:4173/assets/index-DgVZD9jl.css,1,0,0
1784136519922,38,API - GET Courses,200,OK,Load - 10 users 1-10,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,38,0,0
1784136520086,4,Web - GET JS bundle,200,OK,Load - 10 users 1-9,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,3,0,0
1784136520466,4,Web - GET index.html,200,OK,Load - 10 users 1-10,text,true,,791,117,2,2,http://localhost:4173/,4,0,0
1784136520594,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-9,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136520975,5,Web - GET JS bundle,200,OK,Load - 10 users 1-10,text,true,,177350,141,2,2,http://localhost:4173/assets/index-CkFmkQjD.js,4,0,0
1784136521099,39,API - GET Courses,200,OK,Load - 10 users 1-9,text,true,,6738,366,2,2,http://localhost:5050/api/v1/courses?page=1&limit=20,39,0,0
1784136521485,3,Web - GET CSS bundle,200,OK,Load - 10 users 1-10,text,true,,5891,142,2,2,http://localhost:4173/assets/index-DgVZD9jl.css,3,0,0
1784136521641,3,Web - GET index.html,200,OK,Load - 10 users 1-9,text,true,,791,117,2,2,http://localhost:4173/,3,0,0
